gene	strand	aligned reads	num sites	locations
ENSMUSG00000021629	-	3	0	
ENSMUSG00000053137	-	1	0	
ENSMUSG00000027678	+	6	2	166071468,166070938
ENSMUSG00000010048	+	1	0	
ENSMUSG00000035206	+	1	0	
ENSMUSG00000028954	+	30	3	24709213,24709871,24709785
ENSMUSG00000113220	+	2	0	
ENSMUSG00000040302	-	2	1	3583979
ENSMUSG00000068011	-	1	0	
ENSMUSG00000020544	+	1	0	
ENSMUSG00000035191	-	116	2	5109865,5109783
ENSMUSG00000037216	+	4	1	37876228
ENSMUSG00000105689	-	1	0	
ENSMUSG00000026209	-	4	1	75308564
ENSMUSG00000054509	+	3	1	56659794
ENSMUSG00000025410	+	5	2	127281954,127281805
ENSMUSG00000063856	+	2	1	108340342
ENSMUSG00000008658	+	1	0	
ENSMUSG00000023960	+	3	1	44086567
ENSMUSG00000072845	-	1	0	
ENSMUSG00000021635	-	2	1	100617163
ENSMUSG00000003037	+	5	1	72180843
ENSMUSG00000029004	+	1	0	
ENSMUSG00000029535	+	4	1	115343553
ENSMUSG00000046856	-	19	3	63182687,63208731,63182570
ENSMUSG00000035235	+	22	1	61605946
ENSMUSG00000024789	+	5	1	29312340
ENSMUSG00000111658	-	1	0	
ENSMUSG00000063439	+	1	0	
ENSMUSG00000020827	+	1	0	
ENSMUSG00000000600	+	1	0	
ENSMUSG00000030695	-	47	1	126795233
ENSMUSG00000028862	+	83	1	133252929
ENSMUSG00000055862	+	1	0	
ENSMUSG00000028837	+	37	1	126709710
ENSMUSG00000037818	+	3	0	
ENSMUSG00000018446	-	15	1	70977851
ENSMUSG00000061859	+	2	0	
ENSMUSG00000028293	-	1	0	
ENSMUSG00000039990	+	17	1	133672181
ENSMUSG00000028261	+	28	1	24902217
ENSMUSG00000029003	+	9	1	148145694
ENSMUSG00000030814	-	100	1	127704977
ENSMUSG00000028034	+	4	1	152232772
ENSMUSG00000029502	+	11	1	110223155
ENSMUSG00000049600	-	2	1	13005665
ENSMUSG00000034211	+	9	2	129718481,129718272
ENSMUSG00000069633	-	1	0	
ENSMUSG00000001604	+	9	1	136274893
ENSMUSG00000019978	+	5	1	25523519
ENSMUSG00000026127	+	15	1	34444959
ENSMUSG00000068663	+	1	0	
ENSMUSG00000086564	-	2	0	
ENSMUSG00000019907	+	1	0	
ENSMUSG00000020310	+	1	0	
ENSMUSG00000071645	+	4	1	8966202
ENSMUSG00000068739	-	5	2	108426584,108426607
ENSMUSG00000030911	-	137	1	120132356
ENSMUSG00000030060	+	71	2	87936614,87936649
ENSMUSG00000062867	+	1	0	
ENSMUSG00000032540	+	6	1	122379824
ENSMUSG00000036992	+	17	1	148676026
ENSMUSG00000047583	-	1	0	
ENSMUSG00000042197	-	13	2	33769633,33761544
ENSMUSG00000029625	+	6	1	145182041
ENSMUSG00000015937	-	2	1	56095549
ENSMUSG00000028127	-	1	0	
ENSMUSG00000030292	+	1	0	
ENSMUSG00000073721	-	19	1	144372564
ENSMUSG00000018417	-	4	0	
ENSMUSG00000042306	+	1	0	
ENSMUSG00000073838	+	1	0	
ENSMUSG00000032413	-	3	1	96579854
ENSMUSG00000029560	-	2	0	
ENSMUSG00000115580	+	1	0	
ENSMUSG00000029581	+	1	0	
ENSMUSG00000048827	+	1	0	
ENSMUSG00000094724	+	22	1	6998190
ENSMUSG00000032712	+	4	1	149335658
ENSMUSG00000029507	-	2	1	110773669
ENSMUSG00000027326	+	1	0	
ENSMUSG00000054428	-	24	1	132530558
ENSMUSG00000097515	-	1	0	
ENSMUSG00000042569	+	3	1	60858146
ENSMUSG00000030231	+	2	1	140597110
ENSMUSG00000066278	-	1	0	
ENSMUSG00000062997	-	24	1	39001580
ENSMUSG00000045598	+	1	0	
ENSMUSG00000021770	+	5	1	21793312
ENSMUSG00000027968	-	7	1	127536713
ENSMUSG00000025939	-	8	2	16570132,16570556
ENSMUSG00000022070	+	2	0	
ENSMUSG00000061518	+	30	4	36693388,36693681,36693536,36693359
ENSMUSG00000099689	+	1	0	
ENSMUSG00000021532	+	4	2	68592282,68592338
ENSMUSG00000022956	-	63	1	91925218
ENSMUSG00000111266	-	1	0	
ENSMUSG00000032046	-	11	2	150832514,150832492
ENSMUSG00000054091	+	8	1	122925747
ENSMUSG00000006398	-	41	1	118432900
ENSMUSG00000034297	-	1	0	
ENSMUSG00000061436	-	1	0	
ENSMUSG00000014606	-	5	2	70644195,70644595
ENSMUSG00000019295	-	1	0	
ENSMUSG00000003779	+	19	1	34632805
ENSMUSG00000034320	-	1	0	
ENSMUSG00000100618	-	3	1	45300469
ENSMUSG00000006998	+	13	1	20663414
ENSMUSG00000050234	-	56	1	127311420
ENSMUSG00000047115	+	25	1	49389280
ENSMUSG00000018068	-	1	0	
ENSMUSG00000044726	+	12	1	34473079
ENSMUSG00000041375	-	4	1	16275472
ENSMUSG00000031497	+	1	0	
ENSMUSG00000055067	-	6	1	178957254
ENSMUSG00000024975	+	6	1	53929851
ENSMUSG00000030967	+	3	1	132984536
ENSMUSG00000068823	+	15	2	103057807,103057132
ENSMUSG00000056158	+	1	0	
ENSMUSG00000042807	-	1	0	
ENSMUSG00000005373	+	5	1	135137922
ENSMUSG00000026712	+	3	1	14331928
ENSMUSG00000059956	+	3	1	106957080
ENSMUSG00000036376	-	6	1	23421542
ENSMUSG00000073471	+	11	2	7979501,7979522
ENSMUSG00000024384	+	4	1	32097517
ENSMUSG00000031928	+	3	1	14833964
ENSMUSG00000032463	+	9	1	99002019
ENSMUSG00000058298	-	3	1	53608832
ENSMUSG00000059182	-	9	1	51859164
ENSMUSG00000022556	+	10	2	76500923,76500970
ENSMUSG00000022871	+	17	1	22939752
ENSMUSG00000056201	+	57	1	5494031
ENSMUSG00000024273	+	16	1	24477767
ENSMUSG00000032534	-	5	1	102586685
ENSMUSG00000028809	-	4	1	135320488
ENSMUSG00000006127	+	1	0	
ENSMUSG00000113943	-	1	0	
ENSMUSG00000028532	+	1	0	
ENSMUSG00000071104	+	1	0	
ENSMUSG00000096199	+	4	1	4236698
ENSMUSG00000113637	+	1	0	
ENSMUSG00000007867	+	31	1	86162459
ENSMUSG00000052428	+	12	1	167330783
ENSMUSG00000055652	+	1	0	
ENSMUSG00000078350	-	3	1	154023309
ENSMUSG00000025105	-	1	0	
ENSMUSG00000073733	+	1	0	
ENSMUSG00000078958	-	1	0	
ENSMUSG00000025078	+	6	1	56597661
ENSMUSG00000063455	-	2	0	
ENSMUSG00000037716	-	1	0	
ENSMUSG00000021156	-	1	0	
ENSMUSG00000036779	+	1	0	
ENSMUSG00000029387	+	2	1	124596841
ENSMUSG00000051483	+	3	1	93610338
ENSMUSG00000001103	+	14	2	78505081,78504913
ENSMUSG00000025745	-	10	1	30119429
ENSMUSG00000009549	-	19	1	118475849
ENSMUSG00000019297	+	7	1	55754064
ENSMUSG00000031848	+	2	1	70678750
ENSMUSG00000017405	-	2	1	78166105
ENSMUSG00000078869	-	1	0	
ENSMUSG00000027865	+	9	2	100206643,100206286
ENSMUSG00000112627	+	1	0	
ENSMUSG00000019948	-	1	0	
ENSMUSG00000000301	-	2	1	59970616
ENSMUSG00000015092	+	12	1	25562082
ENSMUSG00000006763	-	2	1	46689303
ENSMUSG00000026646	-	4	1	3457579
ENSMUSG00000011114	-	12	1	37649186
ENSMUSG00000025271	+	1	0	
ENSMUSG00000048701	+	1	0	
ENSMUSG00000032263	+	3	1	84124240
ENSMUSG00000002968	-	12	1	44879385
ENSMUSG00000057534	-	318	3	88964657,88964702,88964680
ENSMUSG00000041528	-	9	1	108051671
ENSMUSG00000037339	-	3	1	33600352
ENSMUSG00000041670	-	1	0	
ENSMUSG00000115142	+	1	0	
ENSMUSG00000002797	-	107	2	54985658,54985446
ENSMUSG00000056486	-	12	1	73612335
ENSMUSG00000096276	+	142	3	87960675,87959339,87960629
ENSMUSG00000000701	+	18	1	105181145
ENSMUSG00000030822	+	21	1	127476758
ENSMUSG00000006728	+	3	1	127067285
ENSMUSG00000025157	+	2	1	41944100
ENSMUSG00000018565	-	10	1	69968223
ENSMUSG00000019179	+	23	1	135790387
ENSMUSG00000067713	-	3	1	98812796
ENSMUSG00000081859	+	2	0	
ENSMUSG00000035172	-	12	1	101162678
ENSMUSG00000066979	+	31	2	131571177,131571892
ENSMUSG00000014504	+	2	1	34336554
ENSMUSG00000022244	+	1	0	
ENSMUSG00000045410	-	2	0	
ENSMUSG00000073051	-	1	0	
ENSMUSG00000038084	+	6	2	29651879,29652140
ENSMUSG00000020832	-	2	1	78073374
ENSMUSG00000016831	+	1	0	
ENSMUSG00000015488	+	1	0	
ENSMUSG00000083012	+	8	2	143551938,143564531
ENSMUSG00000022946	+	3	1	93810585
ENSMUSG00000040812	+	2	1	90816229
ENSMUSG00000055044	-	9	1	40222238
ENSMUSG00000034032	-	1	0	
ENSMUSG00000071454	+	6	1	3781398
ENSMUSG00000019845	+	2	0	
ENSMUSG00000022463	+	1	0	
ENSMUSG00000029516	+	8	2	115998499,116001215
ENSMUSG00000024997	-	2	1	60864069
ENSMUSG00000002871	+	39	1	88912231
ENSMUSG00000053641	+	3	1	64917587
ENSMUSG00000024892	+	4	1	4621675
ENSMUSG00000039878	-	1	0	
ENSMUSG00000053398	-	10	1	98313169
ENSMUSG00000044864	-	1	0	
ENSMUSG00000015757	+	1	0	
ENSMUSG00000018740	+	2	0	
ENSMUSG00000040329	-	3	0	
ENSMUSG00000036636	+	1	0	
ENSMUSG00000031072	+	1	0	
ENSMUSG00000057058	+	11	1	96758941
ENSMUSG00000022378	-	1	0	
ENSMUSG00000013495	+	4	1	108645102
ENSMUSG00000019826	+	1	0	
ENSMUSG00000068015	-	3	0	
ENSMUSG00000021820	-	5	1	20734874
ENSMUSG00000054452	+	2	1	81566164
ENSMUSG00000074754	+	2	1	144595359
ENSMUSG00000087246	-	1	0	
ENSMUSG00000057858	-	20	1	60198898
ENSMUSG00000092607	-	8	1	95129718
ENSMUSG00000028467	-	1	0	
ENSMUSG00000025921	+	10	2	16131564,16132547
ENSMUSG00000029627	-	3	1	145194959
ENSMUSG00000024853	-	11	2	5274298,5273931
ENSMUSG00000036810	+	1	0	
ENSMUSG00000075512	-	3	1	77793912
ENSMUSG00000027583	-	1	0	
ENSMUSG00000025979	+	16	2	55153076,55152985
ENSMUSG00000020069	-	4	1	63015427
ENSMUSG00000021807	-	30	1	19811916
ENSMUSG00000020561	+	1	0	
ENSMUSG00000021684	-	1	0	
ENSMUSG00000002835	+	31	2	56068027,56067802
ENSMUSG00000036615	-	3	1	54804197
ENSMUSG00000027831	-	1	0	
ENSMUSG00000018770	-	3	1	73908446
ENSMUSG00000007570	+	7	1	28326566
ENSMUSG00000032575	-	51	1	106888759
ENSMUSG00000095909	+	2	0	
ENSMUSG00000022377	-	3	1	64088538
ENSMUSG00000022900	+	1	0	
ENSMUSG00000057181	-	4	1	80363630
ENSMUSG00000114693	+	1	0	
ENSMUSG00000111050	+	1	0	
ENSMUSG00000000902	-	30	1	75896772
ENSMUSG00000038722	+	72	1	145148071
ENSMUSG00000038351	-	1	0	
ENSMUSG00000025894	-	4	0	
ENSMUSG00000019768	+	1	0	
ENSMUSG00000035305	+	1	0	
ENSMUSG00000021810	-	4	1	20320251
ENSMUSG00000020248	-	5	1	82750003
ENSMUSG00000047832	-	5	1	112820233
ENSMUSG00000024277	+	5	2	23892369,23772894
ENSMUSG00000069910	-	11	1	34809189
ENSMUSG00000028865	+	146	2	133224552,133229502
ENSMUSG00000059552	+	5	1	69591873
ENSMUSG00000019794	+	8	1	7763148
ENSMUSG00000051748	+	1	0	
ENSMUSG00000085079	+	43	2	21386373,21385201
ENSMUSG00000020993	-	7	1	59043129
ENSMUSG00000026987	-	2	0	
ENSMUSG00000078684	+	1	0	
ENSMUSG00000018415	+	8	1	60450931
ENSMUSG00000037174	-	1	0	
ENSMUSG00000032412	-	10	3	96332672,96333043,96332650
ENSMUSG00000030982	+	2	0	
ENSMUSG00000102014	-	3	1	127753695
ENSMUSG00000030703	+	1	0	
ENSMUSG00000071266	+	1	0	
ENSMUSG00000049100	+	3	1	45399598
ENSMUSG00000025384	-	7	1	120369561
ENSMUSG00000016128	-	1	0	
ENSMUSG00000025277	+	6	2	8055911,8056029
ENSMUSG00000013150	-	1	0	
ENSMUSG00000056900	+	2	0	
ENSMUSG00000039781	-	5	1	120064433
ENSMUSG00000006333	+	35	1	3706897
ENSMUSG00000006390	+	10	1	118432614
ENSMUSG00000027680	+	29	2	34069338,34069992
ENSMUSG00000031513	-	2	1	34137532
ENSMUSG00000010044	+	1	0	
ENSMUSG00000039492	-	2	1	154026643
ENSMUSG00000025812	+	17	1	127433141
ENSMUSG00000031985	+	1	0	
ENSMUSG00000035181	-	1	0	
ENSMUSG00000060675	+	1	0	
ENSMUSG00000018882	+	5	1	97329111
ENSMUSG00000011958	+	3	1	70007369
ENSMUSG00000022295	+	13	3	38691727,38692198,38692444
ENSMUSG00000038886	-	1	0	
ENSMUSG00000114071	+	2	0	
ENSMUSG00000063063	-	1	0	
ENSMUSG00000035151	-	1	0	
ENSMUSG00000067768	+	4	1	73222453
ENSMUSG00000034324	+	2	1	127543059
ENSMUSG00000031400	-	40	1	74409485
ENSMUSG00000029270	-	1	0	
ENSMUSG00000060538	-	1	0	
ENSMUSG00000029195	+	4	1	65384007
ENSMUSG00000025287	+	9	2	155297508,155297648
ENSMUSG00000022108	-	10	1	73362879
ENSMUSG00000034152	-	19	1	74171991
ENSMUSG00000024426	-	3	1	35897608
ENSMUSG00000071369	+	4	1	20142302
ENSMUSG00000032407	-	5	1	95460976
ENSMUSG00000024454	-	1	0	
ENSMUSG00000006457	-	19	1	4861221
ENSMUSG00000056602	+	1	0	
ENSMUSG00000026924	-	3	0	
ENSMUSG00000060012	+	1	0	
ENSMUSG00000030083	-	4	1	88835917
ENSMUSG00000041161	-	5	1	138895380
ENSMUSG00000020386	+	17	1	51791926
ENSMUSG00000038664	+	1	0	
ENSMUSG00000024958	-	12	1	6938069
ENSMUSG00000096780	-	1	0	
ENSMUSG00000035575	-	2	0	
ENSMUSG00000023707	+	6	1	124115480
ENSMUSG00000022209	+	3	1	55241438
ENSMUSG00000029676	-	2	1	25743944
ENSMUSG00000027569	+	3	1	180586304
ENSMUSG00000051154	+	10	1	18676220
ENSMUSG00000036398	-	21	1	36949289
ENSMUSG00000028322	-	11	1	45316684
ENSMUSG00000024382	+	4	1	32270151
ENSMUSG00000045438	-	7	1	139337821
ENSMUSG00000030035	-	1	0	
ENSMUSG00000021715	-	2	1	104631330
ENSMUSG00000020612	+	5	1	109667795
ENSMUSG00000028792	+	34	2	129011529,129008399
ENSMUSG00000013846	-	1	0	
ENSMUSG00000009876	+	1	0	
ENSMUSG00000040586	-	10	1	166390935
ENSMUSG00000022749	-	1	0	
ENSMUSG00000020471	-	6	1	5872187
ENSMUSG00000023947	+	1	0	
ENSMUSG00000028741	-	21	1	139347444
ENSMUSG00000020368	-	7	2	50294952,50295779
ENSMUSG00000036299	+	5	1	75009933
ENSMUSG00000038542	-	5	1	13077188
ENSMUSG00000025007	-	1	0	
ENSMUSG00000010517	+	11	1	109962047
ENSMUSG00000016257	-	3	1	174465171
ENSMUSG00000108066	-	1	0	
ENSMUSG00000002625	-	5	1	32321423
ENSMUSG00000026888	-	2	1	64912477
ENSMUSG00000053141	-	1	0	
ENSMUSG00000027207	+	1	0	
ENSMUSG00000025474	-	1	0	
ENSMUSG00000007850	+	8	2	50386528,50386285
ENSMUSG00000026112	-	1	0	
ENSMUSG00000061207	-	2	1	34823992
ENSMUSG00000041341	-	2	1	105616135
ENSMUSG00000033004	-	6	1	103113410
ENSMUSG00000031935	-	53	2	15261868,15261890
ENSMUSG00000035268	+	9	1	163726150
ENSMUSG00000046139	+	1	0	
ENSMUSG00000015337	+	4	1	30174040
ENSMUSG00000101848	-	1	0	
ENSMUSG00000072501	+	1	0	
ENSMUSG00000060950	+	1	0	
ENSMUSG00000022155	+	7	1	4962207
ENSMUSG00000001948	-	6	1	37603297
ENSMUSG00000006941	+	26	2	120495330,120495301
ENSMUSG00000094394	-	1	0	
ENSMUSG00000022285	-	17	2	36771703,36770769
ENSMUSG00000046691	-	1	0	
ENSMUSG00000033318	-	14	1	75831849
ENSMUSG00000033918	-	59	1	20279819
ENSMUSG00000017716	+	93	2	117855731,117855760
ENSMUSG00000019428	+	1	0	
ENSMUSG00000087135	-	1	0	
ENSMUSG00000041891	-	1	0	
ENSMUSG00000063179	+	7	1	131387839
ENSMUSG00000023070	+	2	0	
ENSMUSG00000052798	-	9	1	117750620
ENSMUSG00000029538	+	1	0	
ENSMUSG00000000552	-	2	1	103313894
ENSMUSG00000038250	-	5	2	80980727,80980823
ENSMUSG00000095136	-	1	0	
ENSMUSG00000020115	-	1	0	
ENSMUSG00000049107	-	1	0	
ENSMUSG00000030527	-	1	0	
ENSMUSG00000020307	+	6	1	79688398
ENSMUSG00000031950	+	2	0	
ENSMUSG00000024560	+	12	1	74221493
ENSMUSG00000028149	-	4	1	138925904
ENSMUSG00000030588	+	19	1	29247529
ENSMUSG00000052337	+	6	1	71875258
ENSMUSG00000111172	-	1	0	
ENSMUSG00000027210	-	22	1	115863073
ENSMUSG00000021929	-	4	1	61367050
ENSMUSG00000029500	-	3	0	
ENSMUSG00000001829	+	14	1	101787814
ENSMUSG00000024592	-	2	0	
ENSMUSG00000040669	-	4	1	122318298
ENSMUSG00000006307	-	13	1	30568857
ENSMUSG00000055991	+	8	1	145221750
ENSMUSG00000036257	+	5	1	44312497
ENSMUSG00000006014	-	5	1	150449815
ENSMUSG00000030428	+	3	1	4134240
ENSMUSG00000020910	-	3	1	67038053
ENSMUSG00000020918	-	2	1	100704747
ENSMUSG00000027162	+	2	0	
ENSMUSG00000002102	+	29	1	91059436
ENSMUSG00000085915	-	1	0	
ENSMUSG00000055723	-	3	1	114046781
ENSMUSG00000000776	-	3	1	70438754
ENSMUSG00000010392	-	1	0	
ENSMUSG00000060771	-	3	1	37801460
ENSMUSG00000058756	+	1	0	
ENSMUSG00000024533	-	3	1	67489859
ENSMUSG00000026546	+	2	1	172545869
ENSMUSG00000039431	-	3	1	40551106
ENSMUSG00000069805	-	16	1	62864755
ENSMUSG00000036306	-	1	0	
ENSMUSG00000055022	+	1	0	
ENSMUSG00000063626	-	1	0	
ENSMUSG00000032527	-	2	0	
ENSMUSG00000020205	+	2	0	
ENSMUSG00000000959	+	7	1	54368640
ENSMUSG00000018733	-	2	1	83295073
ENSMUSG00000042066	-	6	1	132356314
ENSMUSG00000022848	-	1	0	
ENSMUSG00000037022	-	2	1	79267903
ENSMUSG00000056222	-	2	0	
ENSMUSG00000035086	-	3	1	101288261
ENSMUSG00000024948	+	3	1	6353869
ENSMUSG00000022110	+	6	1	73595647
ENSMUSG00000021391	-	7	1	49464024
ENSMUSG00000099207	-	8	1	87199200
ENSMUSG00000050108	-	1	0	
ENSMUSG00000027257	+	1	0	
ENSMUSG00000027636	-	7	1	156874154
ENSMUSG00000024197	-	1	0	
ENSMUSG00000005470	+	4	1	83970195
ENSMUSG00000028277	+	4	1	33050029
ENSMUSG00000023262	-	1	0	
ENSMUSG00000113902	-	13	1	101968104
ENSMUSG00000030057	-	28	2	87843078,87843172
ENSMUSG00000042298	+	2	0	
ENSMUSG00000056917	-	12	1	5651190
ENSMUSG00000020897	+	1	0	
ENSMUSG00000027222	+	8	1	92381217
ENSMUSG00000024570	-	3	1	80192263
ENSMUSG00000040621	+	6	0	
ENSMUSG00000036873	+	9	2	145944205,145944277
ENSMUSG00000028245	-	1	0	
ENSMUSG00000110417	+	1	0	
ENSMUSG00000049382	-	1	0	
ENSMUSG00000042476	+	9	1	8959226
ENSMUSG00000020752	-	6	1	115892594
ENSMUSG00000092168	+	1	0	
ENSMUSG00000020621	+	1	0	
ENSMUSG00000103305	+	2	0	
ENSMUSG00000031583	-	1	0	
ENSMUSG00000034121	+	3	1	87863799
ENSMUSG00000028152	+	1	0	
ENSMUSG00000021577	-	21	3	74322814,74322761,74322863
ENSMUSG00000039105	+	28	2	63550701,63550227
ENSMUSG00000019852	-	1	0	
ENSMUSG00000037286	+	2	0	
ENSMUSG00000113970	-	1	0	
ENSMUSG00000097121	+	5	1	101088179
ENSMUSG00000073856	+	1	0	
ENSMUSG00000085704	+	1	0	
ENSMUSG00000022558	+	1	0	
ENSMUSG00000007987	+	1	0	
ENSMUSG00000001105	+	1	0	
ENSMUSG00000062751	+	1	0	
ENSMUSG00000116210	-	1	0	
ENSMUSG00000021998	+	1	0	
ENSMUSG00000010554	+	1	0	
ENSMUSG00000014402	-	23	1	46889373
ENSMUSG00000025647	+	1	0	
ENSMUSG00000026404	+	1	0	
ENSMUSG00000041199	+	1	0	
ENSMUSG00000038290	+	2	0	
ENSMUSG00000028218	-	3	1	12153721
ENSMUSG00000033728	+	4	1	76715085
ENSMUSG00000024104	+	6	1	116262665
ENSMUSG00000005886	-	2	1	13141279
ENSMUSG00000028690	-	1	0	
ENSMUSG00000021033	+	1	0	
ENSMUSG00000054814	-	1	0	
ENSMUSG00000086477	-	3	0	
ENSMUSG00000025283	-	1	0	
ENSMUSG00000038708	+	3	1	118582519
ENSMUSG00000007029	+	1	0	
ENSMUSG00000019831	+	1	0	
ENSMUSG00000061787	-	4	1	81342732
ENSMUSG00000013465	-	2	1	25199715
ENSMUSG00000027115	+	7	1	109341747
ENSMUSG00000085620	-	1	0	
ENSMUSG00000022751	-	9	2	57156664,57156903
ENSMUSG00000074397	-	24	3	44433312,44435780,44435736
ENSMUSG00000022177	-	15	1	54541784
ENSMUSG00000053070	-	1	0	
ENSMUSG00000023791	-	3	1	32084419
ENSMUSG00000085656	+	7	1	3877575
ENSMUSG00000028760	+	1	0	
ENSMUSG00000039195	-	1	0	
ENSMUSG00000112160	+	1	0	
ENSMUSG00000037692	+	9	2	133072064,133077662
ENSMUSG00000039463	+	1	0	
ENSMUSG00000035266	-	20	1	100762150
ENSMUSG00000021694	+	1	0	
ENSMUSG00000030435	+	11	1	5079933
ENSMUSG00000026688	-	47	2	167372380,167372399
ENSMUSG00000070686	-	5	1	93635181
ENSMUSG00000104543	+	1	0	
ENSMUSG00000015748	-	8	1	95830617
ENSMUSG00000037190	-	12	2	107539574,107539000
ENSMUSG00000059326	-	2	1	61224401
ENSMUSG00000031060	+	2	1	20650881
ENSMUSG00000029279	+	9	1	107350748
ENSMUSG00000071655	+	10	1	8875664
ENSMUSG00000025732	-	4	1	25863697
ENSMUSG00000038671	-	5	1	181359309
ENSMUSG00000034826	-	10	1	92415544
ENSMUSG00000062822	+	5	1	119486113
ENSMUSG00000027487	-	3	1	154335383
ENSMUSG00000022031	-	6	1	65530448
ENSMUSG00000030270	+	20	2	113304827,113305568
ENSMUSG00000087213	-	9	1	64679865
ENSMUSG00000035704	+	1	0	
ENSMUSG00000020366	+	1	0	
ENSMUSG00000034424	-	1	0	
ENSMUSG00000085921	+	2	1	80400682
ENSMUSG00000057278	+	16	1	86378903
ENSMUSG00000028252	+	2	0	
ENSMUSG00000023286	+	10	1	155957714
ENSMUSG00000042396	-	11	1	48488701
ENSMUSG00000044791	+	5	1	110618607
ENSMUSG00000098070	+	1	0	
ENSMUSG00000025224	+	3	1	46286503
ENSMUSG00000033021	+	2	1	75443173
ENSMUSG00000024847	-	15	1	4114462
ENSMUSG00000034974	+	3	1	81192999
ENSMUSG00000039660	-	8	2	30173470,30173451
ENSMUSG00000057506	-	2	1	44139245
ENSMUSG00000021754	-	1	0	
ENSMUSG00000020740	-	4	1	115584915
ENSMUSG00000072258	+	5	1	183410195
ENSMUSG00000025872	-	3	1	54458833
ENSMUSG00000008429	-	14	1	25108127
ENSMUSG00000033059	+	2	0	
ENSMUSG00000052372	-	3	1	86932213
ENSMUSG00000027597	-	2	1	155059689
ENSMUSG00000057236	-	24	1	129309514
ENSMUSG00000058586	+	5	1	83116671
ENSMUSG00000039016	+	49	1	50605320
ENSMUSG00000025980	-	8	1	55077834
ENSMUSG00000024287	+	8	1	9993725
ENSMUSG00000019891	+	1	0	
ENSMUSG00000018648	-	8	1	84048040
ENSMUSG00000032398	+	2	0	
ENSMUSG00000031090	-	4	1	143795833
ENSMUSG00000003955	-	39	1	36043845
ENSMUSG00000003464	+	3	1	172135282
ENSMUSG00000004032	+	3	1	107898686
